"UniqueSite","grazed_mean","ungrazed_mean","grazed_sd","ungrazed_sd","grazed_n","ungrazed_n","yi","vi","Study","higher.taxa","taxa","FG","measure","yr.grazed","previously.grazed"
"1302-Vertebrate-Mammalia-VertebrateHerbivorous-richness",8.66666666666667,6.66666666666667,0.577350269189626,0.577350269189626,3,3,-2.76395319577068,1.30328643903425,"1302","Vertebrate","Mammalia","VertebrateHerbivorous","richness",NA,"0"
"1099-Vertebrate-Aves-VertebrateOmnivorous-richness",6.41904761916667,6.819047619,0.784,0.504000000373333,33,45,0.621649702715905,0.055002485556578,"1099","Vertebrate","Aves","VertebrateOmnivorous","richness",NA,"0"
"1139-Invertebrate-Arthropoda-InvertebrateDetrivorous-richness",1.618577075,1.541501976,0.26727272754,0.2788932804,10,10,-0.270225502712219,0.201825545557902,"1139","Invertebrate","Arthropoda","InvertebrateDetrivorous","richness",NA,"0"
"1242-Vertebrate-Aves-VertebrateOmnivorous-richness",3.1,0.8,2.352,1.568,15,8,-1.04409492531918,0.215365236516172,"1242","Vertebrate","Aves","VertebrateOmnivorous","richness",50,"1"
"1321-Invertebrate-Arthropoda-InvertebrateDetrivorous-richness",0.2,0.55,0.6664,0.3724,10,10,0.620925324692942,0.209638706471126,"1321","Invertebrate","Arthropoda","InvertebrateDetrivorous","richness",18,"1"
"1380-Vertebrate-Amphibians-VertebratePredator-shannon",1.07,0.66,0.633733333333333,1.225,5.33333333333333,5,-0.385676985262411,0.394697422756182,"1380","Vertebrate","Amphibians","VertebratePredator","shannon",14,"1"
"1399-Invertebrate-Arthropoda-InvertebrateHerbivorous-richness",6.277372263,6.77372262766667,0.686715328786667,1.77401459844,21,7,0.461756959268078,0.194283681358914,"1399","Invertebrate","Arthropoda","InvertebrateHerbivorous","richness",2,"1"
"1501-Invertebrate-Arthropoda-InvertebrateHerbivorous-richness",4.89,5.12,2.9792,2.4304,25,25,0.0832698223754983,0.0800693386331845,"1501","Invertebrate","Arthropoda","InvertebrateHerbivorous","richness",6,"1"
"1914-Invertebrate-Arthropoda-InvertebratePollinator-richness",12.6,12.477,3.528,3.34768,12,10,-0.0343150760918416,0.183360095252588,"1914","Invertebrate","Arthropoda","InvertebratePollinator","richness",NA,"0"
"1926-Invertebrate-Arthropoda-InvertebratePollinator-richness",10.125,10.8475,1.9943,1.9943,24,24,0.356338013486864,0.0846560081234975,"1926","Invertebrate","Arthropoda","InvertebratePollinator","richness",NA,"0"
"1991-Invertebrate-Arthropoda-InvertebratePollinator-richness",3.304,5,0.77224,1.11132,23,12.5,1.83554801751813,0.170932296427519,"1991","Invertebrate","Arthropoda","InvertebratePollinator","richness",NA,"0"
"2728-Invertebrate-Arthropoda-InvertebrateHerbivorous-richness",24,25.7,7.252,5.096,6,6,0.250289815672448,0.335943541326223,"2728","Invertebrate","Arthropoda","InvertebrateHerbivorous","richness",NA,"0"
"348-Invertebrate-Mollusca-InvertebrateHerbivorous-richness",2.5,5.1,0.784,0.588,18,18,3.66851394936852,0.298027702732103,"348","Invertebrate","Mollusca","InvertebrateHerbivorous","richness",2,"1"
"36-Invertebrate-Arthropoda-InvertebratePollinator-rare.richness",6.07,8.98,1.61,1,14,14,2.1080228738864,0.222210007800505,"36","Invertebrate","Arthropoda","InvertebratePollinator","rare.richness",20,"1"
"36-Invertebrate-Arthropoda-InvertebratePollinator-richness",32.2,42.9,10.7,6.77,14,14,1.16022584886528,0.166895071792414,"36","Invertebrate","Arthropoda","InvertebratePollinator","richness",20,"1"
"5-Invertebrate-Arthropoda-InvertebratePollinator-richness",18.35,26.25,4.018,3.332,18,15,2.06963281330349,0.187121918917715,"5","Invertebrate","Arthropoda","InvertebratePollinator","richness",5,"1"
"611-Vertebrate-Mammalia-VertebrateHerbivorous-richness",1,1.5,0.49,0.5684,4,4,0.818455580527979,0.541866846081087,"611","Vertebrate","Mammalia","VertebrateHerbivorous","richness",30,"1"
"769-Vertebrate-Mammalia-VertebrateHerbivorous-richness",0.83,0.83,0.3528,0.5488,12,12,0,0.166666666666667,"769","Vertebrate","Mammalia","VertebrateHerbivorous","richness",2,"1"
"8-Invertebrate-Arthropoda-InvertebratePollinator-richness",4.35,9.05,1.617,1.274,6,6,2.97938349568591,0.703196917265234,"8","Invertebrate","Arthropoda","InvertebratePollinator","richness",5,"1"
"830-Invertebrate-Arthropoda-InvertebratePredator-richness",9.4,10.1,1.372,1.764,30,30,0.437224025755024,0.0682597070724786,"830","Invertebrate","Arthropoda","InvertebratePredator","richness",NA,"0"
