last.grazed,yr.grazed
>100,100
0,0
blak,omit
40,40
>20,20
9,9
>10,10
2,2
6,6
50,50
unknown,omit
3,3
30,30
15,15
18,18
14,14
10,10
1 to 3,omit
37,37
35,35
38,38
36,36
33,33
34,34
39,39
1,1
55,55
NA,omit
17 to 85,omit
5,5
26,26
4,4
11;13,omti
13,13
21,21
60-80,omit
11,11
8,8
16,16
20,20
5-20 year,omit
61,61
10-30 year,omit
3-5 year,omit
3-5 years,omit
> 10,omit
1-9 years,omit
5-20 years,omit
27,27
28,28
1959,26
2005,3
UNKN,omit
24,24
15-Dec,omit
2 horses livestock/ha,omit
2 cattle livestock/ha,omit
2 ungrazed livestock/ha,omit
8 ha/AU,omit
none,omit
15-30,omit
19,19
59,59
59,59
44,44
41,41
7,7
70,70
70,70
52,52
51,51
0.33,0.33
1972,33
